"","ligand","receptor","source","PMIDs"
"1758","IL20","IL20RB","uniprot,fantom5,HPMR,HPRD","12974481,11163236,12351624,14580208"
"1759","IL20","IL22RA1","HPMR,fantom5,uniprot","12974481"
"1760","IL21","IL21R","HPMR,uniprot,fantom5,HPRD","11418623"
"1761","IL21","IL2RG","fantom5,HPMR","11418623"
"1762","IL22","IL10RA","fantom5,HPMR","58985"
"1763","IL22","IL10RB","uniprot,fantom5,HPRD","10875937"
"1764","IL22","IL21R","fantom5",""
"1765","IL22","IL22RA1","fantom5,uniprot,HPMR,HPRD","58985,11035"
"1766","IL22","IL22RA2","HPRD,uniprot,fantom5,HPMR","11390453"
"1767","IL23A","IL12RB1","fantom5,uniprot,HPMR,HPRD","12023369,11114383,12023369,12671732"
"1768","IL23A","IL12RB2","uniprot",""
"1769","IL23A","IL23R","HPMR,uniprot,fantom5,HPRD","12023369"
"1770","IL24","IL10RB","uniprot",""
"1771","IL24","IL20RA","HPMR,fantom5,uniprot,HPRD","12974481,12"
"1772","IL24","IL20RB","HPMR,uniprot,fantom5","12974481"
"1773","IL24","IL22RA1","fantom5,uniprot,HPMR","12974481"
"1774","IL25","IL17RB","HPMR,fantom5,uniprot,HPRD","11058597"
"1775","IL26","IL10RB","uniprot",""
"1776","IL26","IL20RA","fantom5",""
"1777","IL27","IL27RA","HPRD,uniprot,fantom5","12121660"
"1778","IL2","CD53","HPRD,fantom5","7963560"
"1779","IL2","GYPE","fantom5",""
"1780","IL2","IL2RA","fantom5,uniprot,HPMR,HPRD","15265897,2"
"1781","IL2","IL2RB","HPMR,uniprot,fantom5,HPRD","15265897,11035066,8049354"
"1782","IL2","IL2RG","HPRD,HPMR,fantom5,uniprot","15265897,10662798,8049354"
"1783","IL2","NGFR","HPRD,fantom5","1316918"
