Protein stable ID	Gene name
ENSMUSP00000140138	Gm20873
ENSMUSP00000136403	Gm20873
	Gm28916
	Gm28915
	Gm28918
	Gm28443
ENSMUSP00000141026	Gm20830
ENSMUSP00000135925	Gm20830
	Gm28442
	Gm28445
	Gm20788
	Gm28997
ENSMUSP00000140653	Gm28998
	Gm28398
	Gm28397
	Gm28400
	Gm28399
	Gm28395
	Gm21788
	Gm28394
	Gm28396
	Gm28393
ENSMUSP00000140488	Gm20826
ENSMUSP00000137147	Gm20826
	Vmn2r-ps149
ENSMUSP00000140720	Gm28576
	Gm28575
	Gm28574
	Gm28573
	Gm28572
	Gm28571
	Gm28570
ENSMUSP00000141109	Gm29049
ENSMUSP00000136231	Gm20825
ENSMUSP00000136143	Gm20825
	Gm29047
	Gm29045
	Gm29046
	Gm29043
	Gm29044
	Gm29044
	Gm37951
ENSMUSP00000140952	Gm20824
	Gm28146
	Gm28145
	Gm28148
	Gm28147
	Gm28142
	Gm28141
	Gm28144
	Gm28143
	Gm28150
	Gm28149
	Gm28098
	Gm28330
	Gm28331
	Gm28099
ENSMUSP00000111158	Gm20815
	Gm28328
	Gm28329
	Gm28270
	Gm28327
	Gm28097
	Gm29365
	Gm29329
	Gm28848
	Gm28846
	Gm29471
	Gm29474
	Gm28506
	Gm28507
	Gm21301
	Gm29142
ENSMUSP00000139580	Gm21310
ENSMUSP00000137593	Gm21310
	Gm28509
	Gm28508
ENSMUSP00000140814	Gm20834
ENSMUSP00000136150	Gm20834
	Gm28953
	Gm20776
	Gm28958
ENSMUSP00000139764	Gm20828
ENSMUSP00000129237	Gm20828
	Gm28957
	Gm28956
	Gm28952
	Gm28951
	Gm28390
	Gm28391
	Gm28389
	Gm28655
	Gm28654
	Gm28657
	Gm28656
	Gm35108
	Gm37739
	Gm37739
	Gm37739
	Gm21736
	Gm37654
	Gm37654
	Gm37654
	Gm37044
	Gm31511
	Gm37572
	Gm37572
	Gm37572
	Gm37344
	Gm37344
	Gm37344
	Gm37059
	Gm31942
	Gm31942
	Gm37440
	Gm37440
	Gm38185
	Gm37395
	Gm37577
	Gm37577
	Gm37577
ENSMUSP00000139707	Gm20822
ENSMUSP00000130886	Gm20822
	Gm38183
	Gm38149
	Gm38145
	Gm32033
	Gm32447
	Gm20770
	Gm38016
	Gm37158
	Gm36998
	Gm33112
	Gm21809
	Gm21809
	Gm37635
	Gm35070
	Gm35070
	Gm38094
	Gm21763
	Gm38369
	Gm35843
	Gm38168
	Gm38168
	Gm38168
	Gm37740
	Gm37740
	Gm54350
	Gm37723
	Gm36261
	Gm36261
	Gm37898
	Gm36467
	Gm36467
	Gm37927
	Gm36891
	Gm36929
	Gm38174
	Gm38174
	Gm38174
	Gm20910
	Gm30598
ENSMUSP00000137876	Gm20909
ENSMUSP00000137500	Gm20909
ENSMUSP00000138020	Gm20865
ENSMUSP00000136326	Gm20865
	Gm37462
	Gm37462
	Gm37462
	Gm37658
	Gm32347
	Gm31123
	Gm38370
	Gm38370
	Gm38370
	Gm38054
	Gm37476
	Gm37369
	Gm38181
	1700020D14Rik
	Gm29089
	Gm2098
ENSMUSP00000140600	Zfy1
ENSMUSP00000069364	Zfy1
ENSMUSP00000140543	Uba1y
ENSMUSP00000111560	Uba1y
	Gm28588
	Gm28587
	Rhoay-ps3
ENSMUSP00000139636	Kdm5d
ENSMUSP00000061095	Kdm5d
	Kdm5d
ENSMUSP00000140663	Kdm5d
ENSMUSP00000140462	Kdm5d
	Kdm5d
	Kdm5d
	Kdm5d
	Kdm5d
	n-R5s1
	Gm54351
ENSMUSP00000088736	Eif2s3y
	Eif2s3y
	Eif2s3y
	Eif2s3y
	Eif2s3y
	Eif2s3y
	Gm29650
ENSMUSP00000115113	Uty
ENSMUSP00000122818	Uty
ENSMUSP00000070012	Uty
ENSMUSP00000114752	Uty
ENSMUSP00000114910	Uty
	Uty
ENSMUSP00000120069	Uty
ENSMUSP00000119406	Uty
	Uty
	Uty
ENSMUSP00000116372	Uty
	Uty
ENSMUSP00000088729	Ddx3y
	Ddx3y
ENSMUSP00000140361	Ddx3y
	Ddx3y
	Gm4017
	Gm18665
ENSMUSP00000088727	Usp9y
	Gm25565
	Gm17790
	Gm29167
	Gm8446
	Gm28534
	Gm28975
	Gm28974
	Gm18797
	Rhoay-ps1
ENSMUSP00000139591	Zfy2
ENSMUSP00000111557	Zfy2
	Uba1y-ps2
	Gm18796
	Gm29552
	Gm29550
	Gm29551
	Gm8480
	Gm29553
	Gm54352
	Gm28630
	Gm28629
ENSMUSP00000126567	H2al2c
	Uba1y-ps1
ENSMUSP00000088717	Sry
	Gm18798
ENSMUSP00000132924	H2al2b
	Gm28628
ENSMUSP00000140512	Rbmyf1
	Gm6137
	Gm8498
