0,1
Col9a3,Cd44
Col9a3,Cd93
Col9a3,Itga2b
Col9a3,Itga2
Col9a3,Itga1
Col9a3,Ddr2
L1cam,Egfr
L1cam,Lrp6
L1cam,Lrp1
L1cam,Tlr2
L1cam,Lrp2
L1cam,Tlr4
L1cam,Selp
L1cam,Itgb2
Omg,Prlr
Gas6,Egfr
Gas6,Lrp6
Gas6,Itgb2
Has2,Lrp1
Has2,Ryr2
Prg4,Selp
Gpc3,Lrp6
Gpc3,Lrp1
Gpc3,Itgb2
Dll4,Itgav
Dll4,Itgb1
Dll4,Cd93
Dll3,Itgb1
Dll3,Cd93
Tnc,Lrp1
Tnc,Cd44
Tnc,Cd93
Tnc,Notch1
Tnc,Cd36
Tnc,Itga5
Tnc,Selp
Hsp90aa1,Lrp6
Hsp90aa1,Tlr2
Hsp90aa1,Tlr4
Hsp90aa1,Tek
Hsp90aa1,Ldlr
Hsp90aa1,Scarb1
Hsp90aa1,Selp
Hsp90aa1,Itgb2
Hsp90aa1,Ryr2
Lrig1,Lrp6
Lrig1,Lrp1
Lrig1,Lrp2
Lrig1,Selp
Lrig1,Itgb2
Vwf,Egfr
Vwf,Itgb7
Vwf,Itgb1
Vwf,Cd44
Vwf,Cd93
Vwf,Lrp2
Vwf,Itga6
Vwf,Notch1
Vwf,Notch3
Vwf,Itga7
Vwf,Cd36
Vwf,Lrp8
Vwf,Notch2
Vwf,Vldlr
Vwf,Itgb4
Vwf,Itga5
Vwf,Col13a1
Vwf,Itga9
Vwf,Itga1
Vwf,Mag
Vwf,Robo2
Vwf,Plxna1
Vwf,Flrt2
Vwf,Selp
Vwf,Dchs1
Vwf,Ddr2
Vwf,Itgb2
Vwf,Itga3
Vwf,Bcam
Vwf,Cd79a
Vwf,Robo1
Vwf,Itgb6
F7,Lrp6
F7,Itgb2
Trf,Egfr
Trf,Lrp6
Trf,Lrp1
Trf,Itgb1
Trf,Selp
Trf,Itgb2
Sema3d,Lrp6
Sema3d,Lrp1
Sema3d,Itgb2
Cp,Lrp1
Cp,Selp
Psap,Egfr
Psap,Lrp6
Psap,Itgb2
Cfh,Lrp1
Cfh,Itgav
Cfh,Itgb1
Cfh,Cd44
Cfh,Cd93
Cfh,Itga5
Cfh,Selp
Rbp3,Egfr
Rbp3,Lrp1
Rbp3,Itgav
Rbp3,Itgal
Rbp3,Lrp2
Rbp3,Selp
Rbp3,Itgb2
Dspp,Egfr
Dspp,Lrp6
Dspp,Itgb7
Dspp,Lrp1
Dspp,Tlr2
Dspp,Itgb1
Dspp,Cd44
Dspp,Cd93
Dspp,Lrp2
Dspp,Notch1
Dspp,Cd36
Dspp,Lrp8
Dspp,Vldlr
Dspp,Sell
Dspp,Tlr4
