"","ligand","receptor"
"706","FGA","ITGA5"
"707","FGA","ITGAM"
"708","FGA","ITGAV"
"709","FGA","ITGAX"
"710","FGA","ITGB1"
"711","FGA","ITGB2"
"712","FGA","ITGB3"
"713","FGB","ITGA2B"
"714","FGB","ITGA5"
"715","FGB","ITGAM"
"716","FGB","ITGAV"
"717","FGB","ITGB1"
"718","FGB","ITGB2"
"719","FGF10","FGFR2"
"720","FGF13","SCN5A"
"721","FGF13","SCN8A"
"722","FGF16","FGFR2"
"723","FGF16","FGFR3"
"724","FGF16","FGFR4"
"725","FGF17","FGFR1"
"726","FGF17","FGFR2"
"727","FGF17","FGFR3"
"728","FGF17","FGFR4"
"729","FGF18","FGFR1"
"730","FGF18","FGFR2"
"731","FGF18","FGFR3"
"732","FGF18","FGFR4"
"733","FGF19","FGFR1"
"734","FGF19","FGFR2"
"735","FGF19","FGFR3"
"736","FGF19","FGFR4"
"737","FGF19","KLB"
"738","FGF1","FGFR1"
"739","FGF1","FGFR2"
"740","FGF1","FGFR3"
"741","FGF1","FGFR4"
"742","FGF1","NRP1"
"743","FGF20","FGFR4"
"744","FGF21","FGFR4"
"745","FGF22","FGFR2"
"746","FGF23","FGFR1"
"747","FGF23","FGFR2"
"748","FGF23","FGFR3"
"749","FGF23","FGFR4"
"750","FGF23","PHEX"
"751","FGF2","CD44"
"752","FGF2","FGFR1"
"753","FGF2","FGFR2"
"754","FGF2","FGFR3"
"755","FGF2","FGFR4"
"756","FGF2","FGFRL1"
"757","FGF2","GPC4"
"758","FGF2","NRP1"
"759","FGF2","SDC1"
"760","FGF2","SDC2"
"761","FGF2","SDC3"
"762","FGF2","SDC4"
"763","FGF3","FGFR1"
"764","FGF3","FGFR2"
"765","FGF3","FGFR3"
"766","FGF3","FGFR4"
"767","FGF4","FGFR1"
"768","FGF4","FGFR2"
"769","FGF4","FGFR3"
"770","FGF4","FGFR4"
"771","FGF4","NRP1"
"772","FGF5","FGFR1"
"773","FGF5","FGFR2"
"774","FGF5","FGFR3"
"775","FGF5","FGFR4"
"776","FGF6","FGFR1"
"777","FGF6","FGFR2"
"778","FGF6","FGFR3"
"779","FGF6","FGFR4"
"780","FGF7","FGFR1"
"781","FGF7","FGFR2"
"782","FGF7","FGFR3"
"783","FGF7","FGFR4"
"784","FGF7","NRP1"
"785","FGF8","FGFR1"
"786","FGF8","FGFR2"
"787","FGF8","FGFR3"
"788","FGF8","FGFR4"
"789","FGF9","FGFR1"
"790","FGF9","FGFR2"
"791","FGF9","FGFR3"
"792","FGF9","FGFR4"
"793","FGG","ITGA2B"
"794","FGG","ITGA5"
"795","FGG","ITGAV"
"796","FGG","ITGB1"
"797","FGG","ITGB2"
"798","FGL1","EGFR"
"799","FIGF","FLT4"
"800","FIGF","ITGA9"
"801","FIGF","KDR"
"802","FIGF","NRP2"
"803","FLT3LG","FLT3"
"804","FN1","CD44"
"805","FN1","COL13A1"
"806","FN1","ITGA2"
"807","FN1","ITGA2B"
"808","FN1","ITGA3"
"809","FN1","ITGA4"
"810","FN1","ITGA5"
"811","FN1","ITGA8"
"812","FN1","ITGA9"
"813","FN1","ITGAV"
"814","FN1","ITGB1"
"815","FN1","ITGB3"
"816","FN1","ITGB6"
"817","FN1","ITGB7"
"818","FN1","ITGB8"
"819","FN1","MAG"
"820","FN1","NT5E"
"821","FN1","PLAUR"
"822","FN1","SDC2"
"823","FN1","TMPRSS6"
"824","FN1","TNFRSF11B"
"825","FN1","TSHR"
"826","FSHB","FSHR"
"827","GALP","GALR1"
"828","GALP","GALR2"
"829","GALP","GALR3"
"830","GAL","GALR1"
"831","GAL","GALR2"
"832","GAL","GALR3"
"833","GAL","GPR151"
"834","GAS6","AXL"
"835","GAS6","MERTK"
"836","GAS6","TYRO3"
"837","GAST","CCKBR"
"838","GCG","GCGR"
"839","GCG","GLP1R"
"840","GCG","GLP2R"
"841","GDF11","ACVR1B"
"842","GDF11","ACVR2A"
"843","GDF11","ACVR2B"
