"","ligand","receptor"
"1758","Uts2b","Uts2r"
"1759","Vasp","Cxcr2"
"1760","Vcam1","Itga4"
"1761","Vcam1","Itgad"
"1762","Vcam1","Itgb1"
"1763","Vcam1","Itgb2"
"1764","Vcam1","Itgb7"
"1765","Vcan","Cd44"
"1766","Vcan","Egfr"
"1767","Vcan","Itga4"
"1768","Vcan","Itgb1"
"1769","Vcan","Selp"
"1770","Vcan","Tlr2"
"1771","Vegfa","Ephb2"
"1772","Vegfa","Flt1"
"1773","Vegfa","Gpc1"
"1774","Vegfa","Kdr"
"1775","Vegfa","Nrp1"
"1776","Vegfa","Nrp2"
"1777","Vegfb","Flt1"
"1778","Vegfb","Nrp1"
"1779","Vegfc","Flt4"
"1780","Vegfc","Kdr"
"1781","Vegfc","Nrp2"
"1782","Vegfc","Vipr2"
"1783","Vim","Cd44"
"1784","Vip","Adcyap1r1"
"1785","Vip","Sctr"
"1786","Vip","Vipr1"
"1787","Vip","Vipr2"
"1788","Vtn","Itga5"
"1789","Vtn","Itga8"
"1790","Vtn","Itgav"
"1791","Vtn","Itgb3"
"1792","Vtn","Itgb6"
"1793","Vtn","Itgb8"
"1794","Vtn","Plaur"
"1795","Vtn","Tnfrsf11b"
"1796","Vwf","Gp1ba"
"1797","Vwf","Itga2b"
"1798","Vwf","Tnfrsf11b"
"1799","Wnt1","Fzd3"
"1800","Wnt1","Fzd8"
"1801","Wnt1","Fzd9"
"1802","Wnt1","Lrp5"
"1803","Wnt1","Lrp6"
"1804","Wnt1","Ryk"
"1805","Wnt11","Fzd7"
"1806","Wnt2","Fzd1"
"1807","Wnt2","Fzd5"
"1808","Wnt2","Fzd7"
"1809","Wnt2","Fzd8"
"1810","Wnt2","Fzd9"
"1811","Wnt3","Fzd1"
"1812","Wnt3","Fzd7"
"1813","Wnt3","Fzd8"
"1814","Wnt3","Lrp6"
"1815","Wnt3","Ryk"
"1816","Wnt3a","Apcdd1"
"1817","Wnt3a","Fzd1"
"1818","Wnt3a","Fzd2"
"1819","Wnt3a","Fzd5"
"1820","Wnt3a","Fzd6"
"1821","Wnt3a","Fzd7"
"1822","Wnt3a","Fzd8"
"1823","Wnt3a","Lrp1"
"1824","Wnt3a","Lrp6"
"1825","Wnt3a","Ryk"
"1826","Wnt4","Fzd2"
"1827","Wnt4","Fzd6"
"1828","Wnt5a","Fzd1"
"1829","Wnt5a","Fzd2"
"1830","Wnt5a","Fzd4"
"1831","Wnt5a","Fzd5"
"1832","Wnt5a","Fzd6"
"1833","Wnt5a","Fzd7"
"1834","Wnt5a","Fzd8"
"1835","Wnt5a","Lrp5"
"1836","Wnt5a","Mcam"
"1837","Wnt5a","Ror1"
"1838","Wnt5a","Ror2"
"1839","Wnt5a","Ryk"
"1840","Wnt7a","Fzd10"
"1841","Wnt7a","Fzd5"
"1842","Wnt7a","Fzd9"
"1843","Wnt7b","Fzd1"
"1844","Wnt7b","Fzd10"
"1845","Wnt7b","Lrp5"
"1846","Xcl1","Xcr1"
"1847","Yars","Cxcr1"
"1848","Zp3","Mertk"
"1849","a","Atrn"
"1850","a","F11r"
"1851","a","Mc1r"
"1852","a","Mc2r"
"1853","a","Mc3r"
"1854","a","Mc4r"
"1855","a","Mc5r"
