From	To	
Q8IVL1   NAV2	
Q8IWL1   SFTPA2	
Q8IWY4   SCUBE1	
Q8N2S1   LTBP4	
Q8N4W3   CSF3	
Q8N6P7   IL22RA1	
Q8NAC3   IL17RC	
Q8NCW5   NAXE	
Q8NER1   TRPV1	
Q8NFM7   IL17RD	
Q8NFY4   SEMA6D	
Q8NHC8   OR2T6	
Q8TDL5   BPIFB1	
Q8WU66   TSPEAR	
Q8WZ75   ROBO4	
Q92496   CFHR4	
Q92736   RYR2	
Q92743   HTRA1	
Q92752   TNR	
Q92832   NELL1	
Q92896   GLG1	
Q969J5   IL22RA2	
Q96A54   ADIPOR1	
Q96CW1   AP2M1	
Q96F46   IL17RA	
Q96FE5   LINGO1	
Q96IY4   CPB2	
Q96JX3   SERAC1	
Q96RD7   PANX1	
Q96RT1   ERBIN	
Q99677   LPAR4	
Q99944   EGFL8	
Q99985   SEMA3C	
Q9BRK5   SDF4	
Q9BS26   ERP44	
Q9BXB1   LGR4	
Q9BZM4   ULBP3	
Q9BZM5   ULBP2	
Q9BZM6   ULBP1	
Q9BZR6   RTN4R	
Q9GZM6   OR8D2	
Q9GZV9   FGF23	
Q9H0B8   CRISPLD2	
Q9H293   IL25	
Q9H3G5   CPVL	
Q9HAT2   SIAE	
Q9HBW0   LPAR2	
Q9HBW1   LRRC4	
Q9HCK4   ROBO2	
Q9HCN8   SDF2L1	
Q9HD43   PTPRH	
Q9NPH9   IL26	
Q9NQ38   SPINK5	
Q9NR61   DLL4	
Q9NR96   TLR9	
Q9NRM6   IL17RB	
Q9NYU2   UGGT1	
Q9NYY1   IL20	
Q9UBB9   TFIP11	
Q9UBN6   TNFRSF10D	
Q9UHF4   IL20RA	
Q9UHG3   PCYOX1	
Q9UHL4   DPP7	
Q9ULW2   FZD10	
Q9UNG2   TNFSF18	
Q9UQE7   SMC3	
A0N0R1   CCL3	
A5PL27   CP	
A5YM40   TGFB3	
P02654   APOC1	
Q8N423   LILRB2	
D0EI67   CCL5	
D3DPA4   ACVR1	
E5FQ95   HLA-B	
E9KL23   SERPINA1	
E9KL26   SERPING1	
E9KL36   HEL111	
A0A024R2I8   NR1A2	
F1D8P4   NR0B1	
F1D8Q5   NR2B1	
F1D8Q7   NR2B3	
F1D8R3   NR2F6	
F1D8S3   NR1D1	
F1D8S6   NR1B2	
